Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.26,Self-published,ebook,688,2009,2009,2014/04/05,2010/12/02,currently-reading,currently-reading (#1),currently-reading,"This is an other great Brandon Sanderson book, even if it isn't his best. I enjoyed the characters, especially Lightsong, and the mysterious magic of Breaths and BioChroma. The magic feels far more incomplete than, for example, Mistborn or Elantris, but it feels deliberate as I'm sure Sanderson will return to this world in the future. I reread this book because of two elements in it that appeared in Words of Radiance. It's interesting to see how Sanderson is starting to link the Cosmere books together. I look forward to reading from all his series and spotting the connections!<br/><br/>For a full review, check out my blog: http://strakul.blogspot.com/2014/04/book-review-warbreaker-by-brandon.html",,,2,,,0,,,,,
18119,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""0440238145""","=""9780440238140""",4,4.13,Laurel Leaf Library,Paperback,288,2003,1997,2020/12/27,2011/02/06,,,read,,,,1,,,0,,,,,
41637836,"The Subtle Knife  (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",0,4.13,RHCP Digital,Kindle Edition,370,2018,1997,2020/12/24,2020/12/24,,,read,,,,1,,,0,,,,,
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",5,4.69,Tor Books,Hardcover,1232,2020,2020,2020/12/23,2020/11/20,,,read,"This was a great addition to The Stormlight Archive! I enjoyed the scientific discoveries Navani and other made in that they slowly peeled back some of the mystery of the world, but did so while retaining the framework of a story rather than as an info-dump or similar. As usual, we have some strong characters and an explosive plot so this was fun to read. I took it slow and steady, but could easily have devoted large chunks of time to blaze through this. I can't wait to see how the next book resolves some of the interesting issues raised in this one!<br/><br/>Check out a more in-depth review at my blog: https://strakul.blogspot.com/2020/12/book-review-rhythm-of-war-by-brandon.html ",,,1,,,0,,,,,
774928,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""0553287893""","=""9780553287899""",5,4.10,Spectra,Paperback,245,1990,1973,,2010/12/18,,,read,,,,1,,,0,,,,,
70947,"Northern Lights (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0590660543""","=""9780590660549""",4,3.99,Scholastic Point,Paperback,399,1998,1995,2020/11/19,2020/11/15,,,read,,,,1,,,0,,,,,
53481719,The Starless Sea,Erin Morgenstern,"Morgenstern, Erin",,"=""110197138X""","=""9781101971383""",5,3.85,Anchor Books,Paperback,592,2020,2019,2020/11/14,2020/03/12,,,read,"Ambience is the one word I would use to describe this book. The setting is so prevalent that I ended up wanting to read just to feel like I was in the Harbor by the Starless Sea, amidst the books reading by quiet, warm candlelight. Of course, it wasn't all soothing, there is danger as the characters struggle against forces they don't entirely understand, bringing a mythic scope to the plot alongside tangled romances. Overall, this was a rewarding book to be read slowly and ponder all its intricate connections.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2020/11/book-review-starless-sea-by-erin.html",,,1,,,0,,,,,
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.82,Tor Books,Paperback,1006,2006,2004,,2020/10/22,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
270490,"In the Garden of Iden (The Company, #1)",Kage Baker,"Baker, Kage",,"=""0765314576""","=""9780765314574""",0,3.77,Tor Books,Paperback,336,2005,1997,,2020/10/11,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
8733972,All Clear (All Clear #2),Connie Willis,"Willis, Connie",,"=""0575099321""","=""9780575099326""",4,4.06,Gollancz,Paperback,794,2012,2010,2020/10/10,2020/02/08,,,read,"Blackout/All Clear was a pretty good pair of books with some epic events going on. It featured some interesting characters caught in the chaos of WW2 in London and their struggle to return home, or at least get a message out to the future. The plot was tense and chaotic, but with a good, enjoyable payoff when it delivered. And the setting was cool. I wouldn't mind seeing more time travel novels from Connie Willis, but in terms of preference I enjoyed [b:Doomsday Book|24983|Doomsday Book (Oxford Time Travel, #1)|Connie Willis|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403972500l/24983._SY75_.jpg|2439628] over [b:To Say Nothing of the Dog|77773|To Say Nothing of the Dog (Oxford Time Travel, #2)|Connie Willis|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469410460l/77773._SY75_.jpg|696] over Blackout/All Clear and would recommend others read them in that order.<br/><br/>For my full review, check out my blog: https://strakul.blogspot.com/2020/10/book-review-blackout-all-clear-by.html",,,1,,,0,,,,,
